date,temp,year,monthday
1980-07-11,16.27,1980,2020-07-11
1980-07-12,16.268,1980,2020-07-12
1980-07-13,16.314,1980,2020-07-13
1980-07-14,16.385,1980,2020-07-14
1980-07-15,16.4,1980,2020-07-15
1980-07-16,16.451,1980,2020-07-16
1980-07-17,16.488,1980,2020-07-17
1980-07-18,16.452,1980,2020-07-18
1980-07-19,16.478,1980,2020-07-19
1980-07-20,16.556,1980,2020-07-20
1980-07-21,16.582,1980,2020-07-21
1980-07-22,16.603,1980,2020-07-22
1980-07-23,16.618,1980,2020-07-23
1980-07-24,16.522,1980,2020-07-24
1980-07-25,16.472,1980,2020-07-25
1980-07-26,16.47,1980,2020-07-26
1980-07-27,16.503,1980,2020-07-27
1980-07-28,16.527,1980,2020-07-28
1980-07-29,16.503,1980,2020-07-29
1980-07-30,16.497,1980,2020-07-30
1980-07-31,16.475,1980,2020-07-31
1980-08-01,16.515,1980,2020-08-01
1980-08-02,16.547,1980,2020-08-02
1980-08-03,16.433,1980,2020-08-03
1980-08-04,16.342,1980,2020-08-04
1980-08-05,16.255,1980,2020-08-05
1980-08-06,16.229,1980,2020-08-06
1980-08-07,16.223,1980,2020-08-07
1980-08-08,16.285,1980,2020-08-08
1980-08-09,16.355,1980,2020-08-09
1980-08-10,16.335,1980,2020-08-10
1980-08-11,16.295,1980,2020-08-11
1980-08-12,16.274,1980,2020-08-12
1980-08-13,16.213,1980,2020-08-13
1980-08-14,16.184,1980,2020-08-14
1980-08-15,16.212,1980,2020-08-15
1980-08-16,16.297,1980,2020-08-16
1980-08-17,16.293,1980,2020-08-17
1980-08-18,16.267,1980,2020-08-18
1980-08-19,16.266,1980,2020-08-19
1980-08-20,16.277,1980,2020-08-20
1980-08-21,16.329,1980,2020-08-21
1980-08-22,16.351,1980,2020-08-22
1980-08-23,16.297,1980,2020-08-23
1980-08-24,16.231,1980,2020-08-24
1980-08-25,16.131,1980,2020-08-25
1980-08-26,16.003,1980,2020-08-26
1980-08-27,15.95,1980,2020-08-27
1980-08-28,15.962,1980,2020-08-28
1980-08-29,16.007,1980,2020-08-29
1980-08-30,16.053,1980,2020-08-30
1980-08-31,16.007,1980,2020-08-31
1980-09-01,16.016,1980,2020-09-01
1980-09-02,16.008,1980,2020-09-02
1980-09-03,15.998,1980,2020-09-03
1980-09-04,15.983,1980,2020-09-04
1980-09-05,15.978,1980,2020-09-05
1980-09-06,15.967,1980,2020-09-06
1980-09-07,16.006,1980,2020-09-07
1980-09-08,15.891,1980,2020-09-08
1980-09-09,15.777,1980,2020-09-09
1980-09-10,15.757,1980,2020-09-10
1980-09-11,15.782,1980,2020-09-11
1980-09-12,15.79,1980,2020-09-12
1980-09-13,15.736,1980,2020-09-13
1980-09-14,15.656,1980,2020-09-14
1980-09-15,15.522,1980,2020-09-15
1980-09-16,15.446,1980,2020-09-16
1980-09-17,15.397,1980,2020-09-17
1980-09-18,15.395,1980,2020-09-18
1980-09-19,15.448,1980,2020-09-19
1980-09-20,15.413,1980,2020-09-20
1980-09-21,15.362,1980,2020-09-21
1980-09-22,15.274,1980,2020-09-22
1980-09-23,15.203,1980,2020-09-23
1980-09-24,15.163,1980,2020-09-24
1980-09-25,15.153,1980,2020-09-25
1980-09-26,15.057,1980,2020-09-26
1980-09-27,15.013,1980,2020-09-27
1980-09-28,14.989,1980,2020-09-28
1980-09-29,14.951,1980,2020-09-29
1980-09-30,14.978,1980,2020-09-30
1980-10-01,14.931,1980,2020-10-01
1980-10-02,14.827,1980,2020-10-02
1980-10-03,14.76,1980,2020-10-03
1980-10-04,14.734,1980,2020-10-04
1980-10-05,14.672,1980,2020-10-05
1980-10-06,14.663,1980,2020-10-06
1980-10-07,14.645,1980,2020-10-07
1980-10-08,14.634,1980,2020-10-08
1980-10-09,14.625,1980,2020-10-09
1980-10-10,14.564,1980,2020-10-10
1980-10-11,14.495,1980,2020-10-11
1980-10-12,14.478,1980,2020-10-12
1980-10-13,14.4,1980,2020-10-13
1980-10-14,14.373,1980,2020-10-14
1980-10-15,14.389,1980,2020-10-15
1980-10-16,14.394,1980,2020-10-16
1980-10-17,14.364,1980,2020-10-17
1980-10-18,14.38,1980,2020-10-18
1980-10-19,14.38,1980,2020-10-19
1980-10-20,14.319,1980,2020-10-20
1980-10-21,14.251,1980,2020-10-21
1980-10-22,14.112,1980,2020-10-22
1980-10-23,14.001,1980,2020-10-23
1980-10-24,14.022,1980,2020-10-24
1980-10-25,14.084,1980,2020-10-25
